team,off_epa_per_play,def_epa_per_play,off_success_rate,def_success_rate_allowed,pass_epa_per_play,rush_epa_per_play,pass_def_epa_per_play,rush_def_epa_per_play,st_off_epa,st_def_epa,team_strength,off_trend,def_trend,rz_efficiency,third_down_rate,rz_def_efficiency,third_def_rate,games_played_2025,live_weight,current_form_2025,live_data_quality,last_updated
LAR,0.03546779587037434,-0.03327778515490978,0.4598533583600584,0.43441413805986817,0.12457543572711587,0.043530336097544475,-0.041254480194046185,-0.07798998337275884,-0.03422741880540598,0.04027381352321497,0.9510815636586708,0.08742636132086257,0.01751103792163768,0.1560477104594752,0.3905013657350269,0.14611915046644852,0.3965338168606787,2,0.5,0.06603626474312982,0.5,2025-09-21
ATL,-0.009483376775392353,-0.08031933684941793,0.463900945946468,0.4201020697140688,0.05203622459912272,-0.050984152792229134,-0.0352500567262988,-0.1415647232149574,-0.04253974053052224,0.07114162212329513,0.6046554486944871,0.00420910557913289,0.00918940973496235,0.14803355079217148,0.40668776269611406,0.15810313075506444,0.4176795931341386,2,0.5,0.011386904330613417,0.5,2025-09-21
CAR,-0.06202906686050376,0.06229275328472404,0.4217274322884133,0.4694533104602753,-0.038752027201338565,-0.11653813202535837,0.15040029558653845,0.011131139133597073,0.05749250734383041,0.06151479005925375,-1.369425971212086,-0.0215611021499221,0.13261078161202447,0.15708286674132138,0.33748108378761754,0.18209885352742497,0.4384917091836735,2,0.5,-0.05015865526585126,0.5,2025-09-21
CHI,-0.09076993282022261,0.07320536345408969,0.40031807688980825,0.48126144310410024,-0.02581427728717138,-0.22133435377033472,0.22984326443874525,-0.03129046762424375,0.04646800659855202,0.0212656548778105,-2.0753601606915124,-0.02231463531404822,-0.07878403052475337,0.1593847712796757,0.3685224057946104,0.16162836120708052,0.4116614653016184,2,0.5,-0.1164035849713137,0.5,2025-09-21
CIN,0.03682807110007915,0.009456905785661919,0.4757887675209507,0.4563725843611368,0.07365967338295992,-0.06960059950613103,0.051846215272946285,4.2998844656852095e-4,0.04001263229372771,0.06645770552287095,0.3691131519916625,0.02525968861409496,0.08996302215866558,0.16262098335269065,0.4280849122534555,0.1811518172902612,0.4167149770692434,2,0.5,0.01529753745523327,0.5,2025-09-21
DET,0.1145457976069458,-0.018094680799711566,0.49152846140259254,0.43645377233364313,0.2958921007992012,-0.04581863352887214,0.09639180890819748,-0.1865877094143345,0.08940512780490187,-0.01162972359079785,1.8819910394163801,0.09023858435741974,-0.08475433582963955,0.19669096813186393,0.4360420887722678,0.17248481089074363,0.3774462814119126,2,0.5,0.11835512338984588,0.5,2025-09-21
HOU,-0.05693805624653937,-0.031953290226971215,0.4018242705383434,0.4472886033704912,-0.05148314256612544,-0.14419312895752345,0.04033864974420638,-0.025422508469275337,0.09128304873634144,0.07624824098244688,-0.6500395075436611,0.10708572428490638,-0.04187516408269179,0.14167535163949407,0.35474505731422723,0.180481189234888,0.3629755055739692,2,0.5,-0.06725705337880744,0.5,2025-09-21
MIA,0.015401607874135697,0.14490119426819278,0.4596063752665898,0.4869844331645647,3.3783289010599557e-4,0.007883250970370896,0.32346254715273737,-0.0074193835944278246,0.09495124854861792,0.10904252478679294,-0.9607631329812436,-0.04605534387706467,-0.01957285171433864,0.17765335929892895,0.3709694836126241,0.16435802108572295,0.3720324866514798,3,0.7,0.008886068484588349,0.7,2025-09-21
NYJ,-0.05176877887873387,0.08296266257581338,0.4455329638810961,0.4528176508367784,-0.043043191897498244,-0.09444077080589164,0.1642663383307445,0.016744796259748444,0.01627448025661297,0.02092448708497604,-1.1205260457276263,0.0701648064763376,0.11984498608085407,0.14281668222844693,0.35106145357382496,0.15237205724986624,0.37919266835729104,2,0.5,0.012172608733243884,0.5,2025-09-21
WAS,0.002317586499812476,0.008215689039328691,0.4539076007934224,0.44610635917383235,0.021827072069461877,0.034852361034325784,0.08756700226472096,-0.06573652825769388,0.04456698011115765,0.0824499032008805,-0.04007834406629422,0.1589891734766019,0.09862967317574003,0.17515858222434147,0.4063934732616627,0.16745546313201332,0.4046256851021425,2,0.5,4.94260650042109e-4,0.5,2025-09-21
ARI,0.008975819263524927,-0.0024935301329153114,0.44899750802575833,0.4578907115604762,0.10855597591985021,-0.07952849694047429,0.09309512084215503,-0.11512268158626912,0.06855123288349553,0.07569815966645294,0.2480958458684679,0.14238195897665845,0.03613227064374961,0.1673856566042085,0.40160904119577107,0.17185007453014153,0.42864762106293,2,0.5,0.02767788243397922,0.5,2025-09-21
LAC,0.01583740884495772,-0.06982192528444751,0.47157765968138554,0.4177558256958612,0.22952908103555872,-0.27050164257354947,-0.06981741431046709,-0.09498456075132763,0.04602243043289193,-0.00519541357137145,1.081289491075725,0.01442226109713583,-0.05790953276865712,0.14979096989966556,0.402065878022541,0.14803885630498534,0.3707182026169499,2,0.5,0.07286800007011354,0.5,2025-09-21
MIN,-0.12451214131794373,-0.050664706853422906,0.42859030872136433,0.4295417332975428,-0.16481664844380098,-0.11766571286564995,-0.06680412821724262,-0.03754071673742077,-0.01209547805796038,0.03370257459366004,-1.873471022030253,0.00440897049055703,-0.11001099481621274,0.16689785857676487,0.40193029658365664,0.1585178113661086,0.3714604087602783,2,0.5,-0.20673345273563984,0.5,2025-09-21
TEN,-0.09368357459218626,0.039336612836209754,0.41039905216020356,0.45891990339748523,-0.146986261292589,-0.16378548275578153,0.08988519068839616,0.05010331993104297,0.03434461230850304,0.08533353078104347,-1.8269974950085435,-0.04553153356410799,0.02944977186236288,0.1613266130389418,0.3679375268098871,0.15013431749140116,0.3994925839188134,2,0.5,-0.11509376927940056,0.5,2025-09-21
DAL,0.06560017068459796,0.08323377138653122,0.4708086241177206,0.47334818834480447,0.1181958253333237,-0.014674540234216639,0.18663980567601954,-0.04976913001680146,0.15004481835988953,0.05962213742956204,0.6715543527260577,-0.11713753324632874,0.1248157452070981,0.16378502395159256,0.435922700968011,0.1994745617258123,0.36116223792845936,2,0.5,0.13628456339446557,0.5,2025-09-21
SEA,-0.007362084861502883,-0.05193388053204824,0.4637778787406108,0.4346784530159056,0.011869315490626718,-0.057534661329922666,0.06834804469522239,-0.1252584155469789,0.08647435908241705,0.06613899385123187,0.2342301689770563,-0.02723691122180916,-0.0557145298001044,0.16451365433726006,0.3689633362753244,0.154789441044495,0.41108217335333497,2,0.5,-0.02152400533286016,0.5,2025-09-21
KC,0.04438392993172589,0.04590079748656895,0.4629266037211521,0.4634586122035915,0.12828208125040547,-0.1556995278626052,0.08829242621260618,0.019123120434373662,0.06899097587109415,0.05879101058108403,0.3285904849701809,-0.10759798982288328,-0.02045958977641774,0.16340909998578967,0.4502453463654965,0.1619883407218731,0.40358381733888415,2,0.5,0.05039151310909471,0.5,2025-09-21
BAL,0.1435746645757821,-0.03593823241488061,0.4824146197344896,0.44166679565782385,0.2716265886765689,0.042275979015096166,-0.031203922693370974,-0.03640143664404081,0.05668627420496316,0.07874717409247137,2.8019853349403196,0.15012836209324754,0.02722835338354948,0.22292332763905395,0.452385377544161,0.13285436243651735,0.38223227684029015,2,0.5,0.21574656597269076,0.5,2025-09-21
CLE,-0.14868127098218303,-0.008413004516622847,0.4087998134447428,0.42208315835819166,-0.19660204778159762,-0.028746429886032182,0.0827947777829978,-0.1349472176349381,0.01522757289615331,-0.02994084816194756,-2.2108117575852084,-0.17973177362607817,-0.03436960548580552,0.14158414302928296,0.32423010030344723,0.20011485481124697,0.3470435896052746,2,0.5,-0.1582606167792722,0.5,2025-09-21
JAX,0.03507508336014757,0.018405078801653905,0.46478661053117576,0.4543496301982355,0.060710201425267285,0.006085463910998061,0.026489504333108767,-0.046379351349123715,0.13751150156564076,0.0746134831978661,0.6168564095353208,-0.04336348052198251,0.09975831922131118,0.1605112854390311,0.386337330228638,0.16644578817576156,0.40212254266516023,2,0.5,0.08266924126941526,0.5,2025-09-21
NO,-0.07433628694802898,-0.011964120213553746,0.4340225637767906,0.4407372755836271,-0.021898654234455923,-0.08936606947277252,0.09215729119121283,-0.07250270647826668,-0.0399534562864368,-0.05886312050481845,-1.0804754094322109,-0.00753941465911488,0.04248734617605573,0.1715437788018433,0.37857101095852574,0.15297009078472829,0.3903453981792782,2,0.5,-0.08656510033207022,0.5,2025-09-21
NYG,-0.0166020438676905,0.06569812480070238,0.42941769988364376,0.4708957301078804,0.05304812012249768,-0.15708646250160305,0.13794192486031465,0.056163733356381,0.02375080299388255,-0.01644204819052341,-0.48240088983419904,-0.13916084529044942,-0.02720794590003019,0.1495938159670554,0.3425688179504973,0.16022495894909689,0.3980386339662447,2,0.5,0.04184090944966499,0.5,2025-09-21
PIT,-0.0313772506741787,0.02455548505357056,0.42971237673575013,0.4641268066138823,0.016922732035955654,-0.09850461286961681,0.10488851493228445,0.002282236522640632,0.11515761178630562,0.02825026215867959,-0.5077342179821067,0.01671219894819805,-0.04087487316520044,0.13751311024838817,0.3972279182805498,0.15855835047040007,0.37704221438971663,2,0.5,4.964338376489767e-4,0.5,2025-09-21
SF,0.03788087741277925,-0.041754534720960704,0.4735378445441604,0.4733723763867392,0.23977542018864179,-0.10676472523323154,-0.03561474267295867,-0.0679957476087397,-0.0171173055510116,0.13115054964338557,0.8099414415516563,-0.02496994809311687,0.14838800401320662,0.17620776526378185,0.4457059322858968,0.17739290838286534,0.42389133890721975,2,0.5,0.019419277931235643,0.5,2025-09-21
DEN,0.0019914447617711967,-0.0190212662172924,0.456309668790688,0.4398925992920097,0.06722681451253806,-0.08569475815749633,0.007139446912102062,-0.16064992209316029,0.08146507857749913,0.09416906445351043,0.24356005040116796,0.08155409682908271,-0.06594083968148998,0.16985681050856957,0.35774138017837986,0.14263884026400075,0.3623663958622587,2,0.5,0.014295094609023357,0.5,2025-09-21
LV,-0.10282782869883095,-0.048348484274325615,0.4103563460585513,0.4447723901952966,-0.07732668650723283,-0.23991622712682503,0.1306307108104341,-0.310350700969258,0.02338854410413587,-0.03588703050034671,-1.073347025114109,-0.14302669890015193,-0.0342944997553033,0.13235270379338177,0.3708752456372185,0.17849362266735147,0.4091089767781497,2,0.5,-0.08637132246408091,0.5,2025-09-21
GB,0.06601296561362757,-0.04522804979072899,0.47365445218779323,0.44414376031820013,0.22966536856742106,-0.03708420797255062,-0.019510890126123757,-0.12791497655014414,0.00562696908098263,0.06435233236717997,1.540343908081955,0.06353118077774059,-0.05593226956321012,0.16881392258674205,0.4301124617794019,0.16280907545093198,0.3871365807733882,2,0.5,0.10367797072396942,0.5,2025-09-21
BUF,0.17044287658813478,0.03577219203697332,0.48887639052684717,0.46377846769776687,0.311154689420977,0.08197103472631743,0.022185299385590947,-0.007264359454894089,0.03419331318416212,0.04147856665785454,2.4199328102070865,0.0751433047417869,0.03087747646136028,0.19305405326631864,0.4581326277392491,0.16673667403586342,0.41403553181023367,3,0.7,0.20033631612430508,0.7,2025-09-21
PHI,0.07964958213821849,-0.003783442839888719,0.4637349654801344,0.4560864227481288,0.0780418451635859,0.09395252590078171,0.027394949741380736,-0.14419331144614045,0.0415199207043376,0.05364847278095869,1.3278497611091753,0.01206187673186923,-0.03130238023041301,0.17412424740010946,0.42917991440767467,0.16240310077519382,0.39802822307683106,2,0.5,0.10021727940157611,0.5,2025-09-21
IND,0.06116657697259972,0.014032997872149941,0.47658430501129173,0.47892394155552054,0.14861448799958235,-0.05644246107875616,0.05757011574938986,-0.027360404250627593,-0.00179611486031019,0.04562239694013362,1.513306697855049,0.09062002612694944,0.01878779027075635,0.13435013262599468,0.365463208759632,0.17673221577476897,0.4012096605998248,2,0.5,0.20278098222125027,0.5,2025-09-21
NE,-0.02395469339236797,0.027676081154816557,0.42828042695654495,0.44403773301953353,0.10360063265741346,-0.16753637008692407,0.16553236699297563,-0.16210665653585415,-0.01356075970388481,-0.03943839464106735,-0.16634156589555654,-0.01298595656655096,0.15402580931593238,0.1388400900900901,0.3337151632805021,0.15773524720893142,0.4076470588235294,2,0.5,0.05892280345333113,0.5,2025-09-21
TB,0.03434393330015933,-0.005043250285238322,0.4679449725404121,0.44720840985489785,0.16495542420362264,0.003836440080025885,0.12240473786462419,-0.23152841279341163,0.04381249463982441,-0.00149829545527616,0.5654579616854934,0.1566417012648025,0.00147926671220798,0.17947785585880044,0.4483748568155785,0.15731782607906158,0.38875036770467064,2,0.5,0.036334525280398704,0.5,2025-09-21
